,albumentationsx,torchvision,kornia
Affine,1.0,4.9348107737110425,0.0
AutoContrast,1.0,8.386412757302846,2.5945730798861275
Blur,1.0,0.0,19.969280119790106
Brightness,1.0,7.584216730831269,5.600763208187617
CLAHE,1.0,0.0,5.645429231255054
CenterCrop128,1.0,0.5077370784702848,0.0
ChannelDropout,1.0,0.0,3.4403796011286882
ChannelShuffle,1.0,1.8132615493864983,5.380337912704838
CoarseDropout,1.0,0.0,0.0
ColorJitter,1.0,11.557151776181065,10.143292375855557
Contrast,1.0,14.482828608102755,5.838816156322002
CornerIllumination,1.0,0.0,1.3993748553383594
Elastic,1.0,0.0,0.0
Equalize,1.0,1.9700788943343022,3.737004227298792
Erasing,1.0,3.3432498382412743,44.894867718755265
GaussianBlur,1.0,19.44042448644001,6.8102574987483155
GaussianIllumination,1.0,0.0,1.789070827714419
GaussianNoise,1.0,0.0,2.392343182107442
Grayscale,1.0,8.128497568062064,11.387315042751723
HSV,1.0,0.0,0.0
HorizontalFlip,1.0,5.845840243034757,11.57786355302859
Hue,1.0,0.0,15.501939121037966
Invert,1.0,1.4252155450669375,7.394016647464913
JpegCompression,1.0,1.516350841441412,10.718901317925019
LinearIllumination,1.0,0.0,0.5672668990133098
LongestMaxSize,1.0,0.0,7.718628581030639
MedianBlur,1.0,0.0,0.0
MotionBlur,1.0,0.0,35.68803794591093
Normalize,1.0,1.558505955374278,1.2585593217638988
OpticalDistortion,1.0,0.0,3.906494943639256
Pad,1.0,7.0570889627163265,0.0
Perspective,1.0,5.131547768122128,6.564380381975916
PhotoMetricDistort,1.0,11.198617893308072,0.0
PlankianJitter,1.0,0.0,1.874503899754628
PlasmaBrightness,1.0,0.0,2.102792921897537
PlasmaContrast,1.0,0.0,1.8410287574216422
PlasmaShadow,1.0,0.0,0.8473254225394019
Posterize,1.0,0.6236938811996213,15.59807247052641
RGBShift,1.0,0.0,1.1992121373206202
Rain,1.0,0.0,1.2531009550528236
RandomCrop128,1.0,0.8686268158961366,34.98431507271184
RandomGamma,1.0,0.0,54.290994996156094
RandomResizedCrop,1.0,5.240108633113111,7.140219363817407
Resize,1.0,12.530123854126266,5.236634451757203
Rotate,1.0,8.62798960651584,8.338927171139751
SaltAndPepper,1.0,0.0,1.2886860704067973
Saturation,1.0,0.0,8.688354504824597
Sharpen,1.0,7.491555041894499,7.821067848144703
Shear,1.0,0.0,3.4836701111435957
SmallestMaxSize,1.0,0.0,6.667659657614464
Snow,1.0,0.0,5.072348822884019
Solarize,1.0,10.799596215818998,46.036346054015425
ThinPlateSpline,1.0,0.0,1.2931151944424828
VerticalFlip,1.0,0.9601985079389787,10.832041105725839
