,albumentations,imgaug,torchvision,kornia,augly
"Affine(angle=25.0, shift=(20, 20), scale=2.0, shear=(10.0, 15.0), interpolation=bilinear, mode=constant, fill=0)",1444.7427436620662,1328.1363721044956,187.7311050578477,248.41935036819268,
AutoContrast(),1656.9285866649216,,343.9269620917758,541.121368537491,
"Blur(radius=5, border_mode=constant)",7657.124206930665,5380.896264867456,,265.2817925659599,386.2404914786257
"Brightness(brightness_limit=(0.2, 0.2))",11984.863089162445,1075.8805796458748,854.3951528461477,1127.3474449989983,2108.3773603554478
"CLAHE(clip_limit=(1, 4), tile_grid_size=(8, 8))",646.5698305926562,554.7656179663326,,164.7030907204295,
"CenterCrop128(height=128, width=128)",119292.89427575632,,,,
ChannelDropout(),11533.620765569833,,,2282.646299477472,
ChannelShuffle(),6771.774012465819,1251.8559093899385,4417.262726301525,1327.547769542175,
"CoarseDropout(hole_height_range=(0.1, 0.1), hole_width_range=(0.1, 0.1), num_holes_range=(4, 4))",18962.13898229659,1190.0629149547021,,,
"ColorJitter(brightness=0.5, contrast=1.5, saturation=1.5, hue=0.5)",1020.1015905034938,,87.49313137912166,103.72190945676807,418.3226141895712
"Contrast(contrast_limit=(0.2, 0.2))",12394.139872438209,716.5529110850094,601.5947827644763,1109.4622497718065,1379.3160522085602
"CornerIllumination(gain=(0.01, 0.2))",484.0450775036017,,,452.35147279040467,
"Elastic(alpha=50.0, sigma=5.0, interpolation=bilinear, approximate=False, same_dxdy=True)",373.73868444699986,395.32852801451503,,,
Equalize(),1236.0673004497528,813.6298872283359,794.664161381646,305.6838472429545,
"Erasing(scale=(0.02, 0.33), ratio=(0.3, 3.3), fill=0)",27450.67290468305,,3577.1394823439477,1210.3796101078265,
"GaussianBlur(sigma=2.0, kernel_size=(5, 5))",2349.605772872603,1459.958626435828,127.17084406014074,254.1544281402825,386.7694861044822
"GaussianIllumination(gain=(0.01, 0.2))",720.3034747714563,,,435.6672934649094,
"GaussianNoise(mean=0, std=0.44, per_channel=True)",314.83519372925394,262.5485159050665,,124.82963258982805,
Grayscale(num_output_channels=1),32283.86086819581,3099.634657317826,2600.2035878652373,1200.5851047282176,6087.9626901404645
"HSV(hue=0.015, saturation=0.7, value=0.4)",1197.3170815497203,,,,
HorizontalFlip(),14460.327069265539,9598.792464054242,2485.9186977380955,1296.8850978758257,8808.419076819217
Hue(hue=20),1944.1963787900193,,,149.73366452054177,
Invert(),27664.669606378495,3682.4085345857943,4243.802950916812,2881.425038649982,
JpegCompression(quality=50),1321.1826010737273,686.7234161194074,888.7909736596862,119.9445733129475,1201.8376696245994
"LinearIllumination(gain=(0.01, 0.2))",479.13449631460304,,,707.9659174950601,
MedianBlur(blur_limit=5),1229.2730163789056,1152.0990904051016,,,
"MotionBlur(kernel_size=5, angle_range=(0, 360), direction_range=(-1, 1))",3520.5836418329036,927.9316652488782,,159.3406013105104,
"Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225))",1819.2385626286382,,1017.5690719785213,1250.5806085975646,
OpticalDistortion(distort_limit=0.5),660.842159849225,,,174.1096454379515,
"Pad(padding=10, fill=0, border_mode=constant)",48589.29010300151,,4889.1855950850795,,
"Perspective(scale=(0.05, 0.1), interpolation=bilinear, fill=0)",1206.2043230759098,907.7090425540082,146.7236005619246,154.49844877894185,
PlankianJitter(mode=blackbody),3221.3450652408833,,,2149.940235286015,
PlasmaBrightness(roughness=0.5),168.21654263625354,,,85.09096507059654,
PlasmaContrast(roughness=0.5),144.5283826147516,,,84.43920442290639,
PlasmaShadow(roughness=0.5),183.0960521595274,,,215.94059237471848,
Posterize(bits=4),12978.97133394289,3110.9553347216774,4247.14339533553,836.0568176221628,
RGBShift(pixel_shift=100),3391.463244882506,,,895.9063408650005,
"Rain(drop_width=5, drop_height=20)",,,,1493.4863927241302,
"Rain(drop_width=5, drop_height=20, brightness_coefficient=1.0)",2042.5969123916575,,,,
"RandomCrop128(height=128, width=128)",111858.90658583769,21407.765629167334,31449.58982283231,2945.8886283954366,45395.178885371504
RandomGamma(gamma=120),12444.373027267999,3503.9514393894638,,230.46597299090132,
"RandomResizedCrop(height=512, width=512, scale=(0.08, 1.0), ratio=(0.75, 1.3333333333333333), interpolation=bilinear)",4346.602820714515,,836.951462954496,660.7794702014885,
"Resize(target_size=512, interpolation=bilinear)",3531.79832549518,2995.316446395427,260.1697072894327,644.7656953409474,1082.5044280722686
"Rotate(angle=45, interpolation=nearest, mode=constant, fill=0)",2912.2405387531558,2574.4302638597546,258.3533802150072,256.32680097434985,1738.68266049048
"SaltAndPepper(amount=(0.01, 0.06), salt_vs_pepper=(0.4, 0.6))",628.8693149871091,,,480.4027649063624,
Saturation(saturation_factor=0.5),1595.8531220526636,494.9602630319581,,154.99202578251348,
"Sharpen(alpha=(0.2, 0.5), lightness=(0.5, 1))",2346.1003399154515,1101.4567661653368,220.4086316241496,200.55870978113705,
Shear(shear=10),1298.673048394015,1244.39771533353,,260.8422703434185,
"Snow(snow_point_range=(0.5, 0.5))",611.1695669212279,,,142.94255401558289,
Solarize(threshold=0.5),11755.569382649439,3842.584984057338,1032.1547160685984,262.7294973191033,
"ThinPlateSpline(num_control_points=2, distortion_scale=0.5)",81.65972436986708,,,,
"ThinPlateSpline(num_control_points=4, distortion_scale=0.5)",,,,58.1177869627831,
VerticalFlip(),32385.88903269531,19935.26025297504,4696.317978956326,2871.8061629027006,16829.922650066146
