Transform,albumentations<br>2.0.4,augly<br>1.0.0,imgaug<br>0.4.0,kornia<br>0.8.0,torchvision<br>0.20.1,Speedup<br>(Alb/fastest other)
Resize,**3532 ± 67**,1083 ± 21,2995 ± 70,645 ± 13,260 ± 9,1.18×
RandomCrop128,**111859 ± 1374**,45395 ± 934,21408 ± 622,2946 ± 42,31450 ± 249,2.46×
RandomResizedCrop,**4347 ± 37**,-,-,661 ± 16,837 ± 37,5.19×
CenterCrop128,**119293 ± 2164**,-,-,-,-,N/A
HorizontalFlip,**14460 ± 368**,8808 ± 1012,9599 ± 495,1297 ± 13,2486 ± 107,1.51×
VerticalFlip,**32386 ± 936**,16830 ± 1653,19935 ± 1708,2872 ± 37,4696 ± 161,1.62×
Pad,**48589 ± 2059**,-,-,-,4889 ± 183,9.94×
Rotate,**2912 ± 68**,1739 ± 105,2574 ± 10,256 ± 2,258 ± 4,1.13×
Affine,**1445 ± 9**,-,1328 ± 16,248 ± 6,188 ± 2,1.09×
Perspective,**1206 ± 3**,-,908 ± 8,154 ± 3,147 ± 5,1.33×
Elastic,374 ± 2,-,**395 ± 14**,1 ± 0,3 ± 0,0.95×
ColorJitter,**1020 ± 91**,418 ± 5,-,104 ± 4,87 ± 1,2.44×
ChannelShuffle,**6772 ± 109**,-,1252 ± 26,1328 ± 44,4417 ± 234,1.53×
Grayscale,**32284 ± 1130**,6088 ± 107,3100 ± 24,1201 ± 52,2600 ± 23,5.30×
RGBShift,**3391 ± 104**,-,-,896 ± 9,-,3.79×
GaussianBlur,**2350 ± 118**,387 ± 4,1460 ± 23,254 ± 5,127 ± 4,1.61×
GaussianNoise,**315 ± 4**,-,263 ± 9,125 ± 1,-,1.20×
Invert,**27665 ± 3803**,-,3682 ± 79,2881 ± 43,4244 ± 30,6.52×
Posterize,**12979 ± 1121**,-,3111 ± 95,836 ± 30,4247 ± 26,3.06×
Solarize,**11756 ± 481**,-,3843 ± 80,263 ± 6,1032 ± 14,3.06×
Sharpen,**2346 ± 10**,-,1101 ± 30,201 ± 2,220 ± 3,2.13×
AutoContrast,**1657 ± 13**,-,-,541 ± 8,344 ± 1,3.06×
Equalize,**1236 ± 21**,-,814 ± 11,306 ± 1,795 ± 3,1.52×
Normalize,**1819 ± 49**,-,-,1251 ± 14,1018 ± 7,1.45×
Erasing,**27451 ± 2794**,-,-,1210 ± 27,3577 ± 49,7.67×
JpegCompression,**1321 ± 33**,1202 ± 19,687 ± 26,120 ± 1,889 ± 7,1.10×
RandomGamma,**12444 ± 753**,-,3504 ± 72,230 ± 3,-,3.55×
PlankianJitter,**3221 ± 63**,-,-,2150 ± 52,-,1.50×
MedianBlur,**1229 ± 9**,-,1152 ± 14,6 ± 0,-,1.07×
MotionBlur,**3521 ± 25**,-,928 ± 37,159 ± 1,-,3.79×
CLAHE,**647 ± 4**,-,555 ± 14,165 ± 3,-,1.17×
Brightness,**11985 ± 455**,2108 ± 32,1076 ± 32,1127 ± 27,854 ± 13,5.68×
Contrast,**12394 ± 363**,1379 ± 25,717 ± 5,1109 ± 41,602 ± 13,8.99×
CoarseDropout,**18962 ± 1346**,-,1190 ± 22,-,-,15.93×
Blur,**7657 ± 114**,386 ± 4,5381 ± 125,265 ± 11,-,1.42×
HSV,**1197 ± 23**,-,-,-,-,N/A
ChannelDropout,**11534 ± 306**,-,-,2283 ± 24,-,5.05×
LinearIllumination,479 ± 5,-,-,**708 ± 6**,-,0.68×
CornerIllumination,**484 ± 7**,-,-,452 ± 3,-,1.07×
GaussianIllumination,**720 ± 7**,-,-,436 ± 13,-,1.65×
Hue,**1944 ± 64**,-,-,150 ± 1,-,12.98×
PlasmaBrightness,**168 ± 2**,-,-,85 ± 1,-,1.98×
PlasmaContrast,**145 ± 3**,-,-,84 ± 0,-,1.71×
PlasmaShadow,183 ± 5,-,-,**216 ± 5**,-,0.85×
Rain,**2043 ± 115**,-,-,1493 ± 9,-,1.37×
SaltAndPepper,**629 ± 6**,-,-,480 ± 12,-,1.31×
Saturation,**1596 ± 24**,-,495 ± 3,155 ± 2,-,3.22×
Snow,**611 ± 9**,-,-,143 ± 1,-,4.28×
OpticalDistortion,**661 ± 7**,-,-,174 ± 0,-,3.80×
Shear,**1299 ± 11**,-,1244 ± 14,261 ± 1,-,1.04×
ThinPlateSpline,**82 ± 1**,-,-,58 ± 0,-,1.41×
