transform,albumentationsx,torchvision,kornia
Affine,229.8,107.3,unsupported
AutoContrast,316.6,288.9,unsupported
Blur,1385.1,-,unsupported
Brightness,2477.1,330.4,unsupported
ChannelDropout,3335.5,-,unsupported
ChannelShuffle,1447.9,704.0,unsupported
Contrast,2482.3,209.3,unsupported
CornerIllumination,195.8,-,unsupported
Elastic,121.0,≤20 img/s (8.0),≤20 img/s (3.5)
Erasing,3658.7,1653.1,unsupported
GaussianBlur,747.5,59.7,unsupported
GaussianIllumination,189.4,-,unsupported
GaussianNoise,75.8,-,unsupported
Grayscale,177.7,642.2,unsupported
HorizontalFlip,837.3,2970.9,unsupported
Invert,4622.5,3398.7,unsupported
JpegCompression,103.5,126.9,≤20 img/s (15.1)
LinearIllumination,163.1,-,unsupported
LongestMaxSize,612.5,-,unsupported
MedianBlur,290.1,-,≤20 img/s (0.8)
MotionBlur,776.7,-,unsupported
OpticalDistortion,140.0,-,unsupported
Pad,4373.1,2357.0,-
Perspective,208.6,100.6,unsupported
PlasmaBrightness,114.3,-,≤20 img/s (3.7)
PlasmaContrast,46.0,-,≤20 img/s (4.0)
PlasmaShadow,235.5,-,unsupported
Posterize,4533.0,3358.3,unsupported
RandomCrop224,18067.7,11101.0,unsupported
RandomGamma,3439.2,-,unsupported
RandomJigsaw,2852.1,-,unsupported
RandomResizedCrop,1870.7,284.0,unsupported
RandomRotate90,687.7,-,unsupported
Resize,543.3,67.2,unsupported
Rotate,645.4,92.5,unsupported
Sharpen,479.0,41.1,unsupported
Shear,181.0,-,unsupported
SmallestMaxSize,435.4,-,unsupported
Solarize,3364.3,209.5,unsupported
ThinPlateSpline,44.4,-,unsupported
VerticalFlip,4444.1,3141.3,unsupported
