transform,library,implementation,median_throughput
RandomCrop224+Affine+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4527.747738309672
RandomCrop224+AutoContrast+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4645.639570365569
RandomCrop224+Blur+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5274.913803622625
RandomCrop224+Brightness+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5230.883823338855
RandomCrop224+CLAHE+Normalize+ToTensor,dali,DALI GPU,3730.619752153531
RandomCrop224+ChannelDropout+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5316.452380620635
RandomCrop224+ChannelShuffle+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5086.627144872512
RandomCrop224+ColorJiggle+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4255.088937760526
RandomCrop224+ColorJitter+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4224.677428715556
RandomCrop224+Contrast+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5258.2047627119055
RandomCrop224+CornerIllumination+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,3824.05418987048
RandomCrop224+Elastic+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,2954.0307791337787
RandomCrop224+EnhanceDetail+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5033.135083628458
RandomCrop224+EnhanceEdge+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4923.419845177329
RandomCrop224+Equalize+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4304.379162154424
RandomCrop224+Erasing+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5118.181694298492
RandomCrop224+GaussianBlur+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5028.959211328799
RandomCrop224+GaussianIllumination+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,3655.891458281857
RandomCrop224+GaussianNoise+Normalize+ToTensor,dali,DALI GPU,3820.015122339706
RandomCrop224+Grayscale+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5263.194581973169
RandomCrop224+HorizontalFlip+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5218.143511078761
RandomCrop224+Hue+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4697.977937631386
RandomCrop224+Invert+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,5491.894898125391
RandomCrop224+JpegCompression+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4106.199380257377
RandomCrop224+LinearIllumination+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4076.2646218444656
RandomCrop224+LongestMaxSize+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,1316.8638105134712
RandomCrop224+MedianBlur+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4038.148979750936
RandomCrop224+MotionBlur+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4614.752875594858
RandomCrop224+Normalize+ToTensor,torchvision,TorchVision GPU,6252.6494195069445
RandomCrop224+OpticalDistortion+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,3556.4438660851315
RandomCrop224+Pad+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4866.595973293161
RandomCrop224+Perspective+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,3991.9726252808637
RandomCrop224+PhotoMetricDistort+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4148.99100552892
RandomCrop224+PlankianJitter+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,4899.355059923485
RandomCrop224+PlasmaBrightness+Normalize+ToTensor,albumentationsx,AlbumentationsX CPU,2671.9837811482407
