transform,albumentationsx,kornia,pillow,torchvision
RandomCrop224+Affine+Normalize+ToTensor,4527.747738309672,1515.893547569564,2678.5863358611164,2857.6101188532302
RandomCrop224+AutoContrast+Normalize+ToTensor,4645.639570365569,1618.5034120730725,3271.533343289009,2330.402556545724
RandomCrop224+Blur+Normalize+ToTensor,5274.913803622625,1249.8233049804503,3053.485335247122,
RandomCrop224+Brightness+Normalize+ToTensor,5230.883823338855,1722.446073821083,3260.2538276552145,3491.334857239758
RandomCrop224+CLAHE+Normalize+ToTensor,3384.45160412926,761.3696879367064,,
RandomCrop224+ChannelDropout+Normalize+ToTensor,5316.452380620635,1739.4255753715722,,
RandomCrop224+ChannelShuffle+Normalize+ToTensor,5086.627144872512,1735.888164002438,,4065.640168714122
RandomCrop224+ColorJiggle+Normalize+ToTensor,4255.088937760526,770.0468662027391,,1235.4039219463996
RandomCrop224+ColorJitter+Normalize+ToTensor,4224.677428715556,968.0403434127714,,1248.5440018285258
RandomCrop224+Contrast+Normalize+ToTensor,5258.2047627119055,1728.1064010539642,2967.3255971508315,3197.925952121139
RandomCrop224+CornerIllumination+Normalize+ToTensor,3824.05418987048,1440.997726928798,,
RandomCrop224+Elastic+Normalize+ToTensor,2954.0307791337787,102.55083742290549,,232.8714173638744
RandomCrop224+EnhanceDetail+Normalize+ToTensor,5033.135083628458,,2707.4493949329285,
RandomCrop224+EnhanceEdge+Normalize+ToTensor,4923.419845177329,,2518.7017407490416,
RandomCrop224+Equalize+Normalize+ToTensor,4304.379162154424,1268.1659173462815,3241.223565707919,2961.842669448598
RandomCrop224+Erasing+Normalize+ToTensor,5118.181694298492,1459.7554476486685,,3697.8937866423134
RandomCrop224+GaussianBlur+Normalize+ToTensor,5028.959211328799,1226.0602004807859,2309.92142700161,1458.0711688261417
RandomCrop224+GaussianIllumination+Normalize+ToTensor,3655.891458281857,1409.2918436350549,,
RandomCrop224+GaussianNoise+Normalize+ToTensor,3321.2510747207707,1556.785167167138,,
RandomCrop224+Grayscale+Normalize+ToTensor,5263.194581973169,1723.3082451712203,3541.9963464622715,3946.4038467363175
RandomCrop224+HorizontalFlip+Normalize+ToTensor,5218.143511078761,1818.6819474506399,3613.160069551177,3760.4036507227393
RandomCrop224+Hue+Normalize+ToTensor,4697.977937631386,1095.1170270730984,,
RandomCrop224+Invert+Normalize+ToTensor,5491.894898125391,1780.2677643989516,3566.6905351380074,3794.0290267759565
RandomCrop224+JpegCompression+Normalize+ToTensor,4106.199380257377,728.9776701617976,2972.1135157423055,3447.3088134907543
RandomCrop224+LinearIllumination+Normalize+ToTensor,4076.2646218444656,1591.9272411895727,,
RandomCrop224+LongestMaxSize+Normalize+ToTensor,1316.8638105134712,628.1043908774041,,
RandomCrop224+MedianBlur+Normalize+ToTensor,4038.148979750936,87.62131946131413,164.82932460253565,
RandomCrop224+MotionBlur+Normalize+ToTensor,4614.752875594858,1174.0239079085513,,
RandomCrop224+Normalize+ToTensor,5084.525347676295,1856.4677867646988,3709.7054823195185,3939.9366491912415
RandomCrop224+OpticalDistortion+Normalize+ToTensor,3556.4438660851315,1408.8992624288014,,
RandomCrop224+Pad+Normalize+ToTensor,4866.595973293161,,3372.448955714445,3707.3613672051524
RandomCrop224+Perspective+Normalize+ToTensor,3991.9726252808637,1263.0633828682126,,2549.8237622119022
RandomCrop224+PhotoMetricDistort+Normalize+ToTensor,4148.99100552892,,,1190.5039452332333
RandomCrop224+PlankianJitter+Normalize+ToTensor,4899.355059923485,1704.001494184377,,
RandomCrop224+PlasmaBrightness+Normalize+ToTensor,2671.9837811482407,439.6750757240442,,
RandomCrop224+PlasmaContrast+Normalize+ToTensor,2155.634253321533,437.85702765980596,,
RandomCrop224+PlasmaShadow+Normalize+ToTensor,2795.5004539381484,902.8688890173404,,
RandomCrop224+Posterize+Normalize+ToTensor,5318.989423072557,1586.103349161913,3498.265255912074,3702.217835029843
RandomCrop224+RGBShift+Normalize+ToTensor,4830.704378265731,1716.5022619052422,,
RandomCrop224+Rain+Normalize+ToTensor,4528.476287471207,1479.3288911642312,,
RandomCrop224+RandomGamma+Normalize+ToTensor,5251.25801342494,1560.45894091773,,
RandomCrop224+RandomJigsaw+Normalize+ToTensor,4868.344803782538,1563.8580416170196,,
RandomCrop224+RandomRotate90+Normalize+ToTensor,5086.526497876588,1454.861897694874,,
RandomCrop224+Resize+Normalize+ToTensor,1333.7565195167397,538.2830425914069,,1225.0812076716193
RandomCrop224+Rotate+Normalize+ToTensor,4782.327715185465,1458.5675535447692,3532.062574759327,2987.6486404569814
RandomCrop224+SaltAndPepper+Normalize+ToTensor,4459.661821435879,1429.0316482137216,,
RandomCrop224+Saturation+Normalize+ToTensor,4581.65912827197,1100.7560894341782,3155.5058657767927,
RandomCrop224+Sharpen+Normalize+ToTensor,4821.655211523693,1207.9590619349603,,1400.9595140330212
RandomCrop224+Shear+Normalize+ToTensor,4261.200174545933,1488.7440819478375,2523.910735274077,
RandomCrop224+SmallestMaxSize+Normalize+ToTensor,1328.7369796606447,553.6421833335977,,
RandomCrop224+Snow+Normalize+ToTensor,4135.045604222957,1044.5917991064453,,
RandomCrop224+Solarize+Normalize+ToTensor,5338.813635495953,1529.6671679780757,3603.135183045816,3545.486194494941
RandomCrop224+ThinPlateSpline+Normalize+ToTensor,720.9504677079678,753.1876182116495,,
RandomCrop224+Transpose+Normalize+ToTensor,5230.601565203944,,3605.9341168744277,
RandomCrop224+UnsharpMask+Normalize+ToTensor,4521.635281919213,,2083.122054414947,
RandomCrop224+VerticalFlip+Normalize+ToTensor,5301.694351161125,1817.4660082031296,3737.1926845821695,3828.033849399919
RandomResizedCrop+Normalize+ToTensor,5056.20900585008,1541.0016758377756,2805.379710817441,3787.7666283785366
