transform,dali,kornia,torchvision
RandomCrop224+Affine+Normalize+ToTensor,3805.9735959036593,646.2468604684486,1221.0529116447872
RandomCrop224+AutoContrast+Normalize+ToTensor,,650.5015769330818,2561.893384972934
RandomCrop224+Blur+Normalize+ToTensor,,650.555416220967,
RandomCrop224+Brightness+Normalize+ToTensor,3797.7690459193827,651.0393064796331,3097.2015869059
RandomCrop224+CLAHE+Normalize+ToTensor,3730.619752153531,165.47718274051516,
RandomCrop224+ChannelDropout+Normalize+ToTensor,,659.5990639279294,
RandomCrop224+ChannelShuffle+Normalize+ToTensor,,643.248464480248,3630.9020480266017
RandomCrop224+ColorJiggle+Normalize+ToTensor,3742.4719932595017,528.9076281491567,625.5314673684398
RandomCrop224+ColorJitter+Normalize+ToTensor,3817.7667562720076,573.1301639034239,628.8410356024212
RandomCrop224+Contrast+Normalize+ToTensor,3759.255675616503,648.637646127332,2281.602434479279
RandomCrop224+CornerIllumination+Normalize+ToTensor,,394.7061993179951,
RandomCrop224+Elastic+Normalize+ToTensor,,316.33419963426854,117.79570090024366
RandomCrop224+Equalize+Normalize+ToTensor,3823.90627268608,320.8582268312943,1518.1507226541366
RandomCrop224+Erasing+Normalize+ToTensor,3791.3937358743783,503.3711210720072,2149.69909550368
RandomCrop224+GaussianBlur+Normalize+ToTensor,3700.910678501528,649.8226691022936,1957.1993596290276
RandomCrop224+GaussianNoise+Normalize+ToTensor,3820.015122339706,659.868454834207,
RandomCrop224+Grayscale+Normalize+ToTensor,,655.2252205762123,3960.2815035576355
RandomCrop224+HorizontalFlip+Normalize+ToTensor,3722.446227351875,670.1548100775996,5050.419231638885
RandomCrop224+Hue+Normalize+ToTensor,3784.169050853031,585.8220293177467,
RandomCrop224+Invert+Normalize+ToTensor,,658.899874946499,4868.108269629351
RandomCrop224+JpegCompression+Normalize+ToTensor,3786.2142519257072,590.4911730762217,
RandomCrop224+LinearIllumination+Normalize+ToTensor,,503.2217332762021,
RandomCrop224+LongestMaxSize+Normalize+ToTensor,,178.65787893367687,
RandomCrop224+MedianBlur+Normalize+ToTensor,,327.0132466696324,
RandomCrop224+MotionBlur+Normalize+ToTensor,,656.5052569845196,
RandomCrop224+Normalize+ToTensor,3589.13204342457,958.7694156199819,6252.6494195069445
RandomCrop224+OpticalDistortion+Normalize+ToTensor,,641.0840528237864,
RandomCrop224+Pad+Normalize+ToTensor,3756.133175292844,,4634.323626609513
RandomCrop224+Perspective+Normalize+ToTensor,,635.4084892539425,792.0715914231072
RandomCrop224+PhotoMetricDistort+Normalize+ToTensor,,,579.9180466903011
RandomCrop224+PlankianJitter+Normalize+ToTensor,,653.8484229768272,
RandomCrop224+PlasmaBrightness+Normalize+ToTensor,,561.6249437165808,
RandomCrop224+PlasmaContrast+Normalize+ToTensor,,557.4707287457758,
RandomCrop224+PlasmaShadow+Normalize+ToTensor,,612.1511603638633,
RandomCrop224+Posterize+Normalize+ToTensor,,562.3596977506668,4725.747630216896
RandomCrop224+RGBShift+Normalize+ToTensor,,657.54157736047,
RandomCrop224+Rain+Normalize+ToTensor,,306.2472203283457,
RandomCrop224+RandomGamma+Normalize+ToTensor,,653.176473826147,
RandomCrop224+RandomJigsaw+Normalize+ToTensor,,636.2751367044489,
RandomCrop224+RandomRotate90+Normalize+ToTensor,,632.3004232768778,
RandomCrop224+Resize+Normalize+ToTensor,3523.1399410311906,181.1572968408164,2829.261663653838
RandomCrop224+Rotate+Normalize+ToTensor,3808.5365410948593,642.2822696210783,1273.2181650233713
RandomCrop224+SaltAndPepper+Normalize+ToTensor,3824.420277623381,375.3022362389018,
RandomCrop224+Saturation+Normalize+ToTensor,3792.4858839285966,587.2923109132629,
RandomCrop224+Sharpen+Normalize+ToTensor,,626.6997705654267,2303.8296951290795
RandomCrop224+Shear+Normalize+ToTensor,3771.7445775432057,,
RandomCrop224+SmallestMaxSize+Normalize+ToTensor,,179.0174038790781,
RandomCrop224+Snow+Normalize+ToTensor,,595.5439645977148,
RandomCrop224+Solarize+Normalize+ToTensor,,644.2715984639714,4130.2322889021725
RandomCrop224+ThinPlateSpline+Normalize+ToTensor,,598.1372656031807,
RandomCrop224+VerticalFlip+Normalize+ToTensor,3766.215919065848,669.4601896999443,5020.223417814098
RandomResizedCrop+Normalize+ToTensor,3898.103782305846,904.5322554882729,4139.55474085695
