transform,albumentationsx,torchvision,kornia,pillow
Affine,871.8,240.0,402.0,264.1
AutoContrast,1242.7,159.2,231.3,898.8
Blur,4448.7,-,56.9,409.2
Brightness,6912.2,803.9,766.1,609.3
CLAHE,282.9,-,61.6,-
ChannelDropout,6810.1,-,827.6,-
ChannelShuffle,4337.4,1866.2,486.8,-
ColorJiggle,639.3,47.3,33.6,-
ColorJitter,641.4,47.1,51.7,-
Contrast,6932.8,474.8,770.6,443.1
CornerIllumination,424.6,-,156.6,-
Elastic,191.0,≤20 img/s (8.2),≤20 img/s (3.7),-
EnhanceDetail,2148.3,-,-,275.3
EnhanceEdge,1373.3,-,-,219.0
Equalize,807.4,313.2,128.3,881.7
Erasing,9510.6,1872.1,298.3,-
GaussianBlur,2342.8,86.3,57.1,169.1
GaussianIllumination,388.1,-,187.9,-
GaussianNoise,225.1,-,48.6,-
Grayscale,5193.9,1198.1,418.3,1590.6
HorizontalFlip,8416.0,1999.2,920.4,2612.5
Hue,966.9,-,65.6,-
Invert,15094.9,2618.6,1015.3,1974.2
JpegCompression,692.0,512.1,42.8,515.5
LinearIllumination,520.7,-,327.1,-
LongestMaxSize,2824.5,-,330.2,-
MedianBlur,843.3,-,≤20 img/s (2.5),≤20 img/s (6.0)
MotionBlur,1952.5,-,81.1,-
OpticalDistortion,274.4,-,201.4,-
Pad,13181.0,2419.8,-,3167.1
Perspective,559.4,202.0,181.3,-
PhotoMetricDistort,580.9,45.3,-,-
PlankianJitter,2253.1,-,580.4,-
PlasmaBrightness,267.0,-,≤20 img/s (15.3),-
PlasmaContrast,142.8,-,≤20 img/s (15.8),-
PlasmaShadow,419.8,-,52.9,-
Posterize,14398.5,2598.3,290.4,1977.3
RGBShift,2292.1,-,597.3,-
Rain,1258.8,-,527.3,-
RandomCrop224,38380.3,8492.2,981.3,-
RandomGamma,9937.7,-,307.9,-
RandomJigsaw,5172.0,-,218.5,-
RandomResizedCrop,7150.4,2822.9,621.6,-
RandomRotate90,5990.0,-,333.4,-
Resize,2462.7,978.9,270.6,396.3
Rotate,1407.6,222.9,325.4,1045.5
SaltAndPepper,737.7,-,153.9,-
Saturation,846.6,-,67.0,499.7
Sharpen,1387.6,75.0,57.9,-
Shear,784.4,-,403.3,217.4
SmallestMaxSize,2017.5,-,214.1,-
Snow,489.3,-,62.3,-
Solarize,9759.5,545.4,213.7,1965.7
ThinPlateSpline,51.7,-,36.2,-
Transpose,4626.8,-,-,1934.4
UnsharpMask,906.1,-,-,134.1
VerticalFlip,14051.5,2490.0,1067.2,3670.1
