transform,torchvision,kornia
Affine,1316.9,unsupported
AutoContrast,3942.2,689.2
Blur,-,617.0
Brightness,5706.8,658.2
CLAHE,-,130.4
ChannelDropout,-,613.4
ChannelShuffle,9557.4,710.6
ColorJiggle,680.0,247.4
ColorJitter,687.0,283.3
Contrast,3274.0,652.3
CornerIllumination,-,unsupported
Elastic,≤20 img/s (5.5),202.6
Equalize,2015.9,320.8
Erasing,2242.0,unsupported
GaussianBlur,2803.2,455.6
GaussianIllumination,-,375.3
GaussianNoise,-,771.6
Grayscale,8863.8,685.6
HorizontalFlip,16083.8,849.3
Hue,-,410.2
Invert,15936.1,772.0
JpegCompression,-,102.6
LinearIllumination,-,unsupported
LongestMaxSize,-,282.5
MedianBlur,-,138.0
MotionBlur,-,298.3
OpticalDistortion,-,265.5
Pad,16609.6,-
Perspective,760.6,unsupported
PhotoMetricDistort,619.4,-
PlankianJitter,-,607.4
PlasmaBrightness,-,≤20 img/s (6.4)
PlasmaContrast,-,≤20 img/s (6.8)
PlasmaShadow,-,≤20 img/s (6.9)
Posterize,15122.0,564.2
RGBShift,-,592.9
Rain,-,284.1
RandomCrop224,15008.3,307.4
RandomGamma,-,576.4
RandomJigsaw,-,620.8
RandomResizedCrop,3886.9,293.5
RandomRotate90,-,289.6
Resize,6472.7,272.9
Rotate,1363.9,290.5
SaltAndPepper,-,152.6
Saturation,-,414.0
Sharpen,3332.5,525.5
SmallestMaxSize,-,258.4
Snow,-,367.2
Solarize,10111.6,549.6
ThinPlateSpline,-,376.1
VerticalFlip,16368.3,854.0
