regime,regime_label,library,transform,status,reason,source_files
image9ch_dataloader_gpu,9ch GPU DataLoader,kornia,RandomCrop224+GaussianIllumination+Normalize+ToTensor,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-9ch-dataloader-gpu-decode-g2-standard-16-2026-05-11/kornia_decode_dataloader_augment_n10000_r1_w8_b128_dev-cuda_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Affine,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,AutoContrast,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Blur,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Brightness,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,ChannelDropout,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,ChannelShuffle,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Contrast,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,CornerIllumination,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Elastic,early_stopped,Elastic slower than threshold: 0.288 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Erasing,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,GaussianBlur,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,GaussianIllumination,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,GaussianNoise,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Grayscale,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,HorizontalFlip,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Invert,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,JpegCompression,early_stopped,JpegCompression slower than threshold: 0.066 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,LinearIllumination,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,LongestMaxSize,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,MedianBlur,early_stopped,MedianBlur slower than threshold: 1.183 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,MotionBlur,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,OpticalDistortion,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Perspective,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,PlasmaBrightness,early_stopped,PlasmaBrightness slower than threshold: 0.272 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,PlasmaContrast,early_stopped,PlasmaContrast slower than threshold: 0.253 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,PlasmaShadow,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Posterize,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,RandomCrop224,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,RandomGamma,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,RandomJigsaw,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,RandomResizedCrop,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,RandomRotate90,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Resize,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Rotate,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Sharpen,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Shear,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,SmallestMaxSize,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,Solarize,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,ThinPlateSpline,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,kornia,VerticalFlip,unsupported,RuntimeError: /root/benchmark-work/repo/.venv_torch_stack/bin/python failed with exit code -9,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/kornia_micro_results.json
image9ch_micro_cpu,9ch CPU micro,torchvision,Elastic,early_stopped,Elastic slower than threshold: 0.124 sec/image >= 0.050,results/published/paper-9ch-micro-c4-standard-16-2026-05-10/torchvision_micro_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,CornerIllumination,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,Erasing,unsupported,"NotImplementedError: ""check_uniform_bounds"" not implemented for 'Long'",results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,JpegCompression,early_stopped,JpegCompression slower than threshold: 0.072 sec/image >= 0.050,results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,LinearIllumination,unsupported,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,Perspective,unsupported,"NotImplementedError: ""check_uniform_bounds"" not implemented for 'Long'",results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,PlasmaBrightness,early_stopped,PlasmaBrightness slower than threshold: 0.158 sec/image >= 0.050,results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,PlasmaContrast,early_stopped,PlasmaContrast slower than threshold: 0.148 sec/image >= 0.050,results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,kornia,PlasmaShadow,early_stopped,PlasmaShadow slower than threshold: 0.149 sec/image >= 0.050,results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/kornia_micro_dev-cuda_results.json
image9ch_micro_gpu,9ch GPU micro,torchvision,Elastic,early_stopped,Elastic slower than threshold: 0.181 sec/image >= 0.050,results/published/paper-9ch-micro-gpu-g2-standard-16-2026-05-10/torchvision_micro_dev-cuda_results.json
rgb_dataloader_cpu,CPU DataLoader,pillow,RandomCrop224+Resize+Normalize+ToTensor,early_stopped,RandomCrop224+Resize+Normalize+ToTensor slower than threshold: 0.257 sec/image >= 0.050; RandomCrop224+Resize+Normalize+ToTensor slower than threshold: 0.253 sec/image >= 0.050,results/published/paper-rgb-dataloader-memory-c4-standard-16-2026-05-04-r1/pillow_memory_dataloader_augment_n10000_r1_w8_b256_results.json;results/published/paper-rgb-dataloader-memory-c4-standard-16-2026-05-04/pillow_memory_dataloader_augment_n10000_r2_w8_b256_results.json
rgb_dataloader_gpu,GPU DataLoader,dali,RandomCrop224+AutoContrast+Normalize+ToTensor,unsupported,DALI image pipeline does not implement transform 'AutoContrast',results/published/paper-rgb-dataloader-dali-g2-standard-16-2026-05-04/dali_decode_dataloader_augment_n10000_r3_w8_b256_dev-cuda_results.json
