transform,albumentationsx,torchvision,kornia
RandomCrop224+Affine+Normalize+ToTensor,258.3,118.2,125.5
RandomCrop224+AutoContrast+Normalize+ToTensor,265.8,196.7,136.9
RandomCrop224+Blur+Normalize+ToTensor,309.4,-,35.4
RandomCrop224+Brightness+Normalize+ToTensor,317.3,199.2,154.3
RandomCrop224+ChannelDropout+Normalize+ToTensor,315.3,-,149.8
RandomCrop224+ChannelShuffle+Normalize+ToTensor,294.5,215.6,151.6
RandomCrop224+ColorJiggle+Normalize+ToTensor,238.9,50.8,-
RandomCrop224+ColorJitter+Normalize+ToTensor,240.3,50.3,37.0
RandomCrop224+Contrast+Normalize+ToTensor,315.0,184.5,147.2
RandomCrop224+Elastic+Normalize+ToTensor,250.1,69.9,4.1
RandomCrop224+Equalize+Normalize+ToTensor,236.2,146.9,90.6
RandomCrop224+Erasing+Normalize+ToTensor,309.6,220.8,-
RandomCrop224+GaussianBlur+Normalize+ToTensor,296.2,60.6,129.1
RandomCrop224+GaussianIllumination+Normalize+ToTensor,247.7,-,141.8
RandomCrop224+GaussianNoise+Normalize+ToTensor,183.9,-,122.5
RandomCrop224+Grayscale+Normalize+ToTensor,293.8,215.4,139.2
RandomCrop224+HorizontalFlip+Normalize+ToTensor,261.6,232.5,157.6
RandomCrop224+Hue+Normalize+ToTensor,267.9,-,44.2
RandomCrop224+Invert+Normalize+ToTensor,316.4,227.4,157.2
RandomCrop224+JpegCompression+Normalize+ToTensor,239.0,162.1,28.2
RandomCrop224+MedianBlur+Normalize+ToTensor,224.3,-,3.4
RandomCrop224+Normalize+ToTensor,268.7,237.4,155.5
RandomCrop224+OpticalDistortion+Normalize+ToTensor,253.9,-,106.5
RandomCrop224+Pad+Normalize+ToTensor,276.5,195.6,-
RandomCrop224+Perspective+Normalize+ToTensor,234.4,120.6,-
RandomCrop224+PlankianJitter+Normalize+ToTensor,295.4,-,148.2
RandomCrop224+PlasmaBrightness+Normalize+ToTensor,101.5,-,11.7
RandomCrop224+PlasmaContrast+Normalize+ToTensor,68.6,-,11.7
RandomCrop224+PlasmaShadow+Normalize+ToTensor,139.2,-,36.8
RandomCrop224+Posterize+Normalize+ToTensor,315.8,225.7,-
RandomCrop224+RGBShift+Normalize+ToTensor,179.7,-,150.8
RandomCrop224+Rain+Normalize+ToTensor,265.6,-,116.7
RandomCrop224+RandomGamma+Normalize+ToTensor,315.0,-,133.2
RandomCrop224+Resize+Normalize+ToTensor,54.1,43.8,28.7
RandomCrop224+Rotate+Normalize+ToTensor,277.8,113.8,123.6
RandomCrop224+SaltAndPepper+Normalize+ToTensor,307.4,-,133.1
RandomCrop224+Saturation+Normalize+ToTensor,255.4,-,42.8
RandomCrop224+Sharpen+Normalize+ToTensor,280.2,63.1,47.5
RandomCrop224+Snow+Normalize+ToTensor,230.5,-,unsupported
RandomCrop224+Solarize+Normalize+ToTensor,312.6,213.3,92.3
RandomCrop224+ThinPlateSpline+Normalize+ToTensor,156.3,-,31.1
RandomCrop224+VerticalFlip+Normalize+ToTensor,259.2,228.5,157.2
RandomResizedCrop+Normalize+ToTensor,304.7,202.9,128.4
