transform,torchvision,kornia
RandomCrop224+Affine+Normalize+ToTensor,351.2,unsupported
RandomCrop224+AutoContrast+Normalize+ToTensor,391.5,62.7
RandomCrop224+Blur+Normalize+ToTensor,-,62.4
RandomCrop224+Brightness+Normalize+ToTensor,396.9,63.2
RandomCrop224+ChannelDropout+Normalize+ToTensor,-,63.7
RandomCrop224+ChannelShuffle+Normalize+ToTensor,420.6,60.7
RandomCrop224+ColorJiggle+Normalize+ToTensor,265.9,-
RandomCrop224+ColorJitter+Normalize+ToTensor,265.1,52.3
RandomCrop224+Contrast+Normalize+ToTensor,375.2,63.7
RandomCrop224+Elastic+Normalize+ToTensor,86.7,38.8
RandomCrop224+Equalize+Normalize+ToTensor,343.9,23.9
RandomCrop224+Erasing+Normalize+ToTensor,344.4,-
RandomCrop224+GaussianBlur+Normalize+ToTensor,377.7,62.7
RandomCrop224+GaussianIllumination+Normalize+ToTensor,-,62.4
RandomCrop224+GaussianNoise+Normalize+ToTensor,-,63.2
RandomCrop224+Grayscale+Normalize+ToTensor,425.5,63.7
RandomCrop224+HorizontalFlip+Normalize+ToTensor,440.4,64.7
RandomCrop224+Hue+Normalize+ToTensor,-,54.8
RandomCrop224+Invert+Normalize+ToTensor,430.2,64.0
RandomCrop224+JpegCompression+Normalize+ToTensor,unsupported,53.6
RandomCrop224+MedianBlur+Normalize+ToTensor,-,24.0
RandomCrop224+Normalize+ToTensor,450.8,64.6
RandomCrop224+OpticalDistortion+Normalize+ToTensor,-,61.8
RandomCrop224+Pad+Normalize+ToTensor,432.6,-
RandomCrop224+Perspective+Normalize+ToTensor,312.1,-
RandomCrop224+PlankianJitter+Normalize+ToTensor,-,63.5
RandomCrop224+PlasmaBrightness+Normalize+ToTensor,-,46.1
RandomCrop224+PlasmaContrast+Normalize+ToTensor,-,50.3
RandomCrop224+PlasmaShadow+Normalize+ToTensor,-,52.3
RandomCrop224+Posterize+Normalize+ToTensor,425.7,-
RandomCrop224+RGBShift+Normalize+ToTensor,-,64.3
RandomCrop224+Rain+Normalize+ToTensor,-,22.7
RandomCrop224+RandomGamma+Normalize+ToTensor,-,63.7
RandomCrop224+Resize+Normalize+ToTensor,208.3,20.3
RandomCrop224+Rotate+Normalize+ToTensor,346.2,61.8
RandomCrop224+SaltAndPepper+Normalize+ToTensor,-,49.7
RandomCrop224+Saturation+Normalize+ToTensor,-,53.8
RandomCrop224+Sharpen+Normalize+ToTensor,392.8,58.6
RandomCrop224+Snow+Normalize+ToTensor,-,unsupported
RandomCrop224+Solarize+Normalize+ToTensor,398.0,61.4
RandomCrop224+ThinPlateSpline+Normalize+ToTensor,-,55.3
RandomCrop224+VerticalFlip+Normalize+ToTensor,448.3,64.6
RandomResizedCrop+Normalize+ToTensor,364.0,62.4
