transform,torchvision,kornia
Affine,1277.1,unsupported
AutoContrast,4478.6,104.7
Blur,-,101.6
Brightness,5717.8,103.5
CLAHE,-,unsupported
ChannelDropout,-,100.9
ChannelShuffle,10815.0,95.4
ColorJiggle,555.7,67.9
ColorJitter,569.2,75.7
Contrast,3832.1,102.2
CornerIllumination,-,unsupported
Elastic,14.2,49.5
Equalize,2103.9,27.2
Erasing,940.2,unsupported
GaussianBlur,2359.6,95.7
GaussianIllumination,-,188.8
GaussianNoise,-,105.7
Grayscale,8900.6,105.8
HorizontalFlip,30476.2,108.4
Hue,-,85.6
Invert,23860.3,268.3
JpegCompression,unsupported,55.4
LinearIllumination,-,unsupported
MedianBlur,-,20.7
MotionBlur,-,unsupported
Normalize,4990.4,106.0
OpticalDistortion,-,93.2
Pad,18024.8,-
Perspective,818.1,unsupported
PlankianJitter,-,102.3
PlasmaBrightness,-,51.4
PlasmaContrast,-,50.9
PlasmaShadow,-,61.4
Posterize,21706.1,unsupported
RGBShift,-,100.9
Rain,-,29.9
RandomCrop224,16046.0,145.7
RandomGamma,-,101.0
RandomJigsaw,-,128.5
RandomResizedCrop,4353.3,172.3
RandomRotate90,-,83.1
Resize,579.4,22.5
Rotate,1307.9,83.8
SaltAndPepper,-,85.8
Saturation,-,86.2
Sharpen,3085.6,88.6
Snow,-,unsupported
Solarize,12890.8,97.3
ThinPlateSpline,-,79.3
VerticalFlip,34455.4,106.9
