,albumentationsx,kornia,torchvision
Affine,1.0,0.1938858109647096,0.009163819713441606
AutoContrast,1.0,0.9205712186542003,0.03411894605854579
Blur,1.0,2.269642286582175,0.0
Brightness,1.0,7.9969079327601715,0.2312959630994893
CLAHE,1.0,0.0,0.0
CenterCrop128,1.0,10.409181546650741,0.6440030677943502
ChannelDropout,1.0,2.7911494599058564,0.0
ChannelShuffle,1.0,1.1010963816100476,0.022968307412817194
CoarseDropout,1.0,0.0,0.0
ColorJitter,1.0,0.5591858225686566,0.15284672384383072
Contrast,1.0,8.062977745794184,0.31998060379881926
CornerIllumination,1.0,2.1315940877775454,0.0
Elastic,1.0,0.0,0.03180214752277422
Equalize,1.0,2.8177374977327814,0.06197016043617743
Erasing,1.0,0.0,1.4874492793898793
GaussianBlur,1.0,1.229909456295766,0.04889814787934695
GaussianIllumination,1.0,0.3616361243490879,0.0
GaussianNoise,1.0,0.40492794178564506,0.0
Grayscale,1.0,3.14866972119184,0.08353968481598925
HSV,1.0,0.0,0.0
HorizontalFlip,1.0,1.2257245895741709,0.027399464646471586
Hue,1.0,0.7323184164558864,0.0
Invert,1.0,14.385070274039258,0.3738126203669664
JpegCompression,1.0,0.0,0.0
LinearIllumination,1.0,1.21318348113293,0.0
MedianBlur,1.0,1.5731393639118678,0.0
MotionBlur,1.0,0.0,0.0
Normalize,1.0,0.8854231335132918,0.041925652308627145
OpticalDistortion,1.0,0.0,0.0
Pad,1.0,0.0,0.24266934471624507
Perspective,1.0,0.0,0.00961859186876386
PlankianJitter,1.0,4.670775435791995,0.0
PlasmaBrightness,1.0,0.20709331718288396,0.0
PlasmaContrast,1.0,0.16274780906164607,0.0
PlasmaShadow,1.0,0.32091602093512933,0.0
Posterize,1.0,0.0,0.2926494129761912
RGBShift,1.0,0.33263093411048406,0.0
Rain,1.0,6.375125195442507,0.0
RandomCrop128,1.0,10.215525912289793,0.5891254432982677
RandomGamma,1.0,9.171104923418653,0.0
RandomResizedCrop,1.0,2.2224690164097796,0.0767862020510889
Resize,1.0,2.359152427503,0.09895120297635059
Rotate,1.0,1.0464430541546434,0.04216751979547405
SaltAndPepper,1.0,1.2750994253368029,0.0
Saturation,1.0,0.23918652121315476,0.0
Sharpen,1.0,1.3636209991570736,0.05795887074784628
Shear,1.0,0.0,0.0
Snow,1.0,0.0,0.0
Solarize,1.0,2.45680472046189,0.08105004292569402
ThinPlateSpline,1.0,0.10038484348710192,0.0
VerticalFlip,1.0,15.317120038355373,0.3439642180678051
