,torchvision,kornia,albumentations
Affine,452.5753459351186,21.39052288696244,4.61031508194837
AutoContrast,577.7245767492002,21.412089875695376,20.444280799336696
Blur,,20.612808328621945,54.29730292098813
Brightness,755.5213586030236,21.85207604609817,204.46586683310903
CLAHE,,,9.567075807872811
CenterCrop128,1133.3907780804007,70.1214725502082,699.1022960084294
ChannelDropout,,21.811503397353697,55.79229246834323
ChannelShuffle,958.3463330231264,19.99061440256066,50.126644449319066
CoarseDropout,,,75.44204561170207
ColorJitter,68.7505266032818,18.792130146610695,10.528972623344126
Contrast,546.5526912200784,21.69003383839111,202.38521094758676
CornerIllumination,,2.6037128012165995,5.345123130854826
Elastic,126.83180294923095,,4.237137969271893
Equalize,191.54741341104898,4.212679126344656,14.33543828903122
Erasing,254.58881381279298,,77.46998146987445
GaussianBlur,543.4410728864611,21.605868472420998,26.69770927962968
GaussianIllumination,,20.33165573831873,7.36023627788799
GaussianNoise,,22.3819770076455,8.648663515091418
Grayscale,838.4046914059745,22.244334868437758,151.21750412095042
HSV,,,7.455473269036197
HorizontalFlip,977.8724141318081,21.859054527960904,8.682936940695
Hue,,19.5293765740179,14.708542733802748
Invert,843.272225374548,21.91340009084495,300.44450778116277
JpegCompression,,,21.617479051265253
LinearIllumination,,4.292985435410056,4.740078122286576
MedianBlur,,8.389423894577435,14.514524446421083
MotionBlur,,,39.382262302121966
Normalize,460.7973628509761,21.81920630757081,23.17975336577072
OpticalDistortion,,,4.427471564124591
Pad,759.6777773372667,,63.53342408791873
Perspective,434.75239622335175,,4.202572287891309
PlankianJitter,,10.845053261071978,23.42724314655525
PlasmaBrightness,,16.936244701381316,3.467328839065659
PlasmaContrast,,16.96921134650012,2.6173789690613387
PlasmaShadow,,19.0326104440921,5.922781440649145
Posterize,631.4556535287952,,54.91715883871635
RGBShift,,22.269726696501806,32.17520687244986
Rain,,3.772864813405019,24.262610734884515
RandomCrop128,1132.7942915114209,65.32781032345555,693.4053404932874
RandomGamma,,21.627497621003034,207.40874407675352
RandomResizedCrop,182.08780685817368,6.291125331878822,16.506229100626125
Resize,139.96336685251504,5.870559002978633,16.08242209137268
Rotate,534.1786934887336,21.525290404075726,28.611301651636655
SaltAndPepper,,8.8173206837536,10.088258495805633
Saturation,,36.561265044807406,8.70475113023105
Sharpen,420.08631467706425,17.855202017538353,25.6485512706802
Shear,,,4.4662463433222355
Snow,,,12.52451445416219
Solarize,628.4191769874396,20.73156276766905,50.92860080048714
ThinPlateSpline,,44.901541650972284,4.339869914263505
VerticalFlip,977.9208235920469,21.960379665156623,9.224133743804638
