Transform,albumentations<br>2.0.3,augly<br>1.0.0,imgaug<br>0.4.0,kornia<br>0.8.0,torchvision<br>0.20.1
Resize,**3480 ± 56**,1083 ± 21,2995 ± 70,645 ± 13,260 ± 9
RandomCrop128,**114036 ± 2114**,45395 ± 934,21408 ± 622,2946 ± 42,31450 ± 249
HorizontalFlip,**12768 ± 620**,8808 ± 1012,9599 ± 495,1297 ± 13,2486 ± 107
VerticalFlip,**26243 ± 3351**,16830 ± 1653,19935 ± 1708,2872 ± 37,4696 ± 161
Rotate,**2887 ± 17**,1739 ± 105,2574 ± 10,256 ± 2,258 ± 4
Affine,**1441 ± 5**,-,1328 ± 16,248 ± 6,188 ± 2
Perspective,**1199 ± 12**,-,908 ± 8,154 ± 3,147 ± 5
Elastic,366 ± 9,-,**395 ± 14**,1 ± 0,3 ± 0
ChannelShuffle,**7698 ± 274**,-,1252 ± 26,1328 ± 44,4417 ± 234
Grayscale,**34339 ± 990**,6088 ± 107,3100 ± 24,1201 ± 52,2600 ± 23
GaussianBlur,936 ± 23,387 ± 4,**1460 ± 23**,254 ± 5,127 ± 4
GaussianNoise,**330 ± 8**,-,263 ± 9,125 ± 1,-
Invert,**48523 ± 7853**,-,3682 ± 79,2881 ± 43,4244 ± 30
Posterize,**14193 ± 592**,-,3111 ± 95,836 ± 30,4247 ± 26
Solarize,**12868 ± 911**,-,3843 ± 80,263 ± 6,1032 ± 14
Sharpen,**2423 ± 18**,-,1101 ± 30,201 ± 2,220 ± 3
Equalize,**1317 ± 22**,-,814 ± 11,306 ± 1,795 ± 3
JpegCompression,**1402 ± 10**,1202 ± 19,687 ± 26,120 ± 1,889 ± 7
RandomGamma,**14355 ± 788**,-,3504 ± 72,230 ± 3,-
MedianBlur,**1288 ± 5**,-,1152 ± 14,6 ± 0,-
MotionBlur,**3720 ± 62**,-,928 ± 37,159 ± 1,-
CLAHE,**680 ± 8**,-,555 ± 14,165 ± 3,-
Brightness,**14952 ± 730**,2108 ± 32,1076 ± 32,1127 ± 27,854 ± 13
Contrast,**14232 ± 676**,1379 ± 25,717 ± 5,1109 ± 41,602 ± 13
CoarseDropout,**24028 ± 2033**,-,1190 ± 22,-,-
Blur,**8590 ± 179**,386 ± 4,5381 ± 125,265 ± 11,-
Saturation,**1515 ± 32**,-,495 ± 3,155 ± 2,-
Shear,**1335 ± 9**,-,1244 ± 14,261 ± 1,-
ColorJitter,**1018 ± 42**,418 ± 5,-,104 ± 4,87 ± 1
RandomResizedCrop,**4395 ± 24**,-,-,661 ± 16,837 ± 37
Pad,**34833 ± 6545**,-,-,-,4889 ± 183
AutoContrast,**1717 ± 11**,-,-,541 ± 8,344 ± 1
Normalize,**1985 ± 17**,-,-,1251 ± 14,1018 ± 7
Erasing,**36634 ± 6600**,-,-,1210 ± 27,3577 ± 49
CenterCrop128,**117844 ± 1724**,-,-,-,-
RGBShift,**3539 ± 142**,-,-,896 ± 9,-
PlankianJitter,**3427 ± 33**,-,-,2150 ± 52,-
HSV,**1367 ± 23**,-,-,-,-
ChannelDropout,**13479 ± 540**,-,-,2283 ± 24,-
LinearIllumination,488 ± 3,-,-,**708 ± 6**,-
CornerIllumination,**522 ± 2**,-,-,452 ± 3,-
GaussianIllumination,**794 ± 16**,-,-,436 ± 13,-
Hue,**2098 ± 17**,-,-,150 ± 1,-
PlasmaBrightness,**172 ± 2**,-,-,85 ± 1,-
PlasmaContrast,**151 ± 2**,-,-,84 ± 0,-
PlasmaShadow,187 ± 7,-,-,**216 ± 5**,-
Rain,**2069 ± 57**,-,-,1493 ± 9,-
SaltAndPepper,**622 ± 6**,-,-,480 ± 12,-
Snow,**634 ± 6**,-,-,143 ± 1,-
OpticalDistortion,**687 ± 6**,-,-,174 ± 0,-
ThinPlateSpline,**80 ± 1**,-,-,58 ± 0,-
