x y
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1776.00000000 0
1900.00000000 1
1924.00000000 1
1924.00000000 1
1934.00000000 1
2000.00000000 1
1850.00000000 1
1776.00000000 1
1900.00000000 1
1850.00000000 1
1776.00000000 1
1776.00000000 1
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 2
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1814.00000000 3
1990.00000000 4
1972.00000000 4
1972.00000000 4
1972.00000000 4
1972.00000000 4
1972.00000000 4
1814.00000000 4
1972.00000000 4
1972.00000000 4
1814.00000000 4
1814.00000000 4
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
1852.00000000 5
2086.00000000 6
2150.00000000 6
2150.00000000 6
2150.00000000 6
2150.00000000 6
2022.00000000 6
1958.00000000 6
2086.00000000 6
2022.00000000 6
2022.00000000 6
1766.00000000 6
