x y
1444.69499768 0
1871.76336895 0
1868.08344882 0
1264.93498816 0
1189.23816494 0
2011.06564025 0
2072.88709228 0
1465.96223149 0
1979.98437565 0
1776.24296740 0
2062.76636251 0
2138.10240527 1
2101.31587340 1
2092.37375432 1
523.13493721 1
2154.86802263 1
2083.68515021 1
2106.84537376 1
2122.12046548 1
2151.04583627 1
1746.36621460 1
1989.92845904 1
2647.29577441 2
3518.87774604 2
3197.83806161 2
3245.19426255 2
2393.17764346 2
3758.75085503 2
3768.20869729 2
3555.22524674 2
3566.79650671 2
2720.85131346 2
2390.09163890 2
2383.75540875 3
3822.85286585 3
3377.35070958 3
3063.88036927 3
2447.33216017 3
4206.77160996 3
4423.73275903 3
2585.30684074 3
4319.12565105 3
3518.40230987 3
3671.23205750 3
1477.79378041 4
4434.44854496 4
3333.15089839 4
1591.34180575 4
2811.30365487 4
4374.25957067 4
4375.33395336 4
1535.15710156 4
4594.04254332 4
3558.02021500 4
3852.14461359 4
3049.23005296 5
4621.95647537 5
4641.64130667 5
3986.44768762 5
4678.95998862 5
4723.31183215 5
4740.04004322 5
3351.74657100 5
4907.18783225 5
4785.40011344 5
4751.48215357 5
5030.70811292 6
5040.59412203 6
5025.14179285 6
5033.21946350 6
4990.03248017 6
4990.33110555 6
5029.34533059 6
5024.63824494 6
4992.08372037 6
5090.52500438 6
5069.81237467 6
