x y
0.40452084 -0.075
1.02782444 -0.050
1.17249827 -0.025
1.18101339 0.000
1.42613845 0.025
1.48085816 0.050
1.57943275 0.075
1.62589735 -0.075
1.67452242 -0.050
1.72073430 -0.025
1.76259479 0.000
1.87280657 0.025
1.96732648 0.050
1.97024146 0.075
1.98531018 -0.075
1.98600647 -0.050
2.02320047 -0.025
2.03479105 0.000
2.03786699 0.025
2.13601952 0.050
2.15075379 0.075
2.17134411 -0.075
2.19955340 -0.050
2.20162111 -0.025
2.20893392 0.000
2.21836146 0.025
2.24525863 0.050
2.24982816 0.075
2.26680688 -0.075
2.27636853 -0.050
2.28130324 -0.025
2.30345144 0.000
2.34245783 0.025
2.35089374 0.050
2.37097933 0.075
2.37509926 -0.075
2.38604886 -0.050
2.39294605 -0.025
2.44061361 0.000
2.63323326 0.025
2.69411348 0.050
2.76232965 0.075
2.79667143 -0.075
2.80374458 -0.050
3.15150401 -0.025
3.16954188 0.000
3.40881798 0.025
3.42753361 0.050
3.74879169 0.075
3.81259280 -0.075
7.35299072 -0.050
1.01914691 0.925
1.04228439 0.950
1.06816334 0.975
1.07150235 1.000
1.07979688 1.025
1.10450389 1.050
1.14593237 1.075
1.14759733 0.925
1.15887927 0.950
1.17562681 0.975
1.19316882 1.000
1.22762070 1.025
1.23135670 1.050
1.23346412 1.075
1.27917069 0.925
1.29645987 0.950
1.30111075 0.975
1.30383987 1.000
1.32106244 1.025
1.34496147 1.050
1.37434389 1.075
1.66433817 0.925
2.87892500 0.950
2.88910473 0.975
2.92949053 1.000
8.43495433 1.025
0.94276631 1.925
1.04243703 1.950
1.15182825 1.975
1.19207371 2.000
1.20191559 2.025
1.21355298 2.050
1.22841573 2.075
1.25661743 1.925
1.25790274 1.950
1.31347458 1.975
1.31396943 2.000
1.32983590 2.025
1.34422019 2.050
1.37579697 2.075
1.39860414 1.925
1.43404900 1.950
1.45149355 1.975
1.46287836 2.000
1.46371566 2.025
1.58158248 2.050
1.68711636 2.075
1.74770285 1.925
1.75878781 1.950
1.95512439 1.975
1.98799162 2.000
15.82069374 2.025
0.49030274 2.925
0.52615510 2.950
0.60612343 2.975
0.65431439 3.000
0.66706227 3.025
0.69806228 3.050
0.71196537 3.075
0.79202739 2.925
0.81949930 2.950
0.82790950 2.975
0.84678657 3.000
0.84695271 3.025
0.88060938 3.050
0.91694677 3.075
0.92368365 2.925
0.93721065 2.950
0.93766123 2.975
0.94006023 3.000
0.94247655 3.025
0.94649267 3.050
0.98278599 3.075
0.98299390 2.925
